Mods count: 106
 
jar name                                                    | mod id (isMCreator)                                     | mixin configs
kubejsadditions-forge-4.3.4.jar                             | kubejsadditions                                         | 
kubejsdelight-1.1.2.jar                                     | kubejsdelight                                           | kubejsdelight.mixins.json
kubejsthermalaugments-1.20.1-1.0.0.jar                      | kubejsthermalaugments                                   | 
ldlib-forge-1.20.1-1.0.47.jar                               | ldlib                                                   | ldlib-common.mixins.json, ldlib.mixins.json
LibX-1.20.1-5.0.14.jar                                      | libx                                                    | 
Mantle-1.20.1-1.11.95.jar                                   | mantle                                                  | 
markdown_manual-MC1.20.1-forge-1.2.5+c3f0b88.jar            | markdown_manual                                         | 
merequester-forge-1.20.1-1.1.5.jar                          | merequester                                             | merequester.mixins.json
modernfix-forge-5.25.2+mc1.20.1.jar                         | modernfix                                               | modernfix-common.mixins.json, modernfix-forge.mixins.json
MouseTweaks-forge-mc1.20.1-2.25.1.jar                       | mousetweaks                                             | mousetweaks-fabric.mixins.json, mousetweaks.mixins.refmap.json, mousetweaks.mixins.json
Not Enough Recipe Book-FORGE-0.4.1+1.20.1.jar               | nerb                                                    | nerb-common.mixins.json
OctoLib-FORGE-0.5.0.1+1.20.1.jar                            | octolib                                                 | octolib-common.mixins.json
    /META-INF/jars/snakeyaml-2.2.jar                        |                                                         | 
Placebo-1.20.1-8.6.3.jar                                    | placebo                                                 | placebo.mixins.json
polyeng-forge-0.1.1-1.20.1.jar                              | polyeng                                                 | polyeng.mixins.json
polymorph-forge-0.49.10+1.20.1.jar                          | polymorph                                               | polymorph.mixins.json, polymorph-integrations.forge.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.17+1.20.1.jar    | spectrelib                                              | 
probejs-6.0.1-forge.jar                                     | probejs                                                 | probejs.mixins.json, probejs.common.mixins.json
    /META-INF/jars/javaparser-symbol-solver-core-3.25.8.jar | com_github_javaparser_javaparser-symbol-solver-core     | 
    /META-INF/jars/vineflower-1.9.3.jar                     | org_vineflower_vineflower                               | 
    /META-INF/jars/Java-WebSocket-1.5.6.jar                 | org_java-websocket_java-websocket                       | 
questsadditions-1.4.7.jar                                   | questsadditions                                         | questsadditions.mixins.json
rhino-forge-2001.2.3-build.10.jar                           | rhino                                                   | rhino-common.mixins.json
rubberdrawers-1.1.jar                                       | rubberdrawers                                           | 
Searchables-forge-1.20.1-1.0.3.jar                          | searchables                                             | searchables.forge.mixins.json, searchables.mixins.json
SkyblockBuilder-1.20.1-5.1.28.jar                           | skyblockbuilder                                         | skyblockbuilder.mixins.json
sophisticatedcore-1.20.1-1.2.115.1333.jar                   | sophisticatedcore                                       | sophisticatedcore.mixins.json
sophisticatedstorage-1.20.1-1.4.17.1406.jar                 | sophisticatedstorage                                    | 
squatgrow-forge-5.3.0+mc1.20.1.jar                          | squatgrow                                               | squatgrow.mixins.json
TConstruct-1.20.1-3.11.0.148.jar                            | tconstruct                                              | 
thermal_expansion-1.20.1-11.0.1.29.jar                      | thermal_expansion                                       | 
thermal_foundation-1.20.1-11.0.6.70.jar                     | thermal_foundation                                      | 
    /META-INF/jarjar/thermal_core-1.20.1-11.0.6.24.jar      | thermal                                                 | 
titanium-1.20.1-3.8.32.jar                                  | titanium                                                | 
travelersbackpack-forge-1.20.1-9.1.46.jar                   | travelersbackpack                                       | mixins.travelersbackpack.refmap.json, mixins.travelersbackpack.json
ulvcovm-0.3.2.jar                                           | ulvcovm                                                 | 
XyCraft Core-0.6.22.jar                                     | xycraft_core                                            | xycraft_core.mixin.json
XyCraft Machines-0.6.22.jar                                 | xycraft_machines                                        | 
XyCraft World-0.6.22.jar                                    | xycraft_world                                           | 
